Unidad,Fecha_subida,Timestamp,Error,Log
9608,2024-01-30 13:34:36,2024-01-30 13:34:21,False,{'log': 'Batch dropping enabled. Delay: 6s.'}
9608,2024-01-30 13:34:41,2024-01-30 13:34:27,False,{'log': 'Batch dropping disabled. Delay: 0s.'}
9608,2024-01-30 13:36:30,2024-01-30 13:36:15,False,{'log': 'Batch dropping enabled. Delay: 6s.'}
9608,2024-01-30 13:36:35,2024-01-30 13:36:21,False,{'log': 'Batch dropping disabled. Delay: 0s.'}
9608,2024-01-30 13:38:06,2024-01-30 13:37:52,False,{'log': 'Batch dropping enabled. Delay: 6s.'}
9608,2024-01-30 13:38:12,2024-01-30 13:37:58,False,{'log': 'Batch dropping disabled. Delay: 0s.'}
9608,2024-01-30 13:39:33,2024-01-30 13:39:19,False,{'log': 'Batch dropping enabled. Delay: 6s.'}
9608,2024-01-30 13:39:40,2024-01-30 13:39:25,False,{'log': 'Batch dropping disabled. Delay: 0s.'}
9608,2024-01-30 13:41:06,2024-01-30 13:40:52,False,{'log': 'Batch dropping enabled. Delay: 6s.'}
9608,2024-01-30 13:41:16,2024-01-30 13:40:59,False,{'log': 'Batch dropping disabled. Delay: 0s.'}
9608,2024-01-30 13:42:02,2024-01-30 13:41:48,False,{'log': 'Batch dropping enabled. Delay: 6s.'}
9608,2024-01-30 13:42:08,2024-01-30 13:41:53,False,{'log': 'Batch dropping disabled. Delay: 0s.'}
9608,2024-01-30 13:43:47,2024-01-30 13:43:32,False,{'log': 'Batch dropping enabled. Delay: 6s.'}
9608,2024-01-30 13:43:53,2024-01-30 13:43:38,False,{'log': 'Batch dropping disabled. Delay: 0s.'}
9608,2024-01-30 13:44:42,2024-01-30 13:44:28,False,{'log': 'Batch dropping enabled. Delay: 6s.'}
9608,2024-01-30 13:44:49,2024-01-30 13:44:34,False,{'log': 'Batch dropping disabled. Delay: 0s.'}
9608,2024-01-30 13:46:12,2024-01-30 13:45:58,False,{'log': 'Batch dropping enabled. Delay: 6s.'}
9608,2024-01-30 13:46:17,2024-01-30 13:46:03,False,{'log': 'Batch dropping disabled. Delay: 0s.'}
9608,2024-01-30 13:47:48,2024-01-30 13:47:34,False,{'log': 'Batch dropping enabled. Delay: 6s.'}
9608,2024-01-30 13:47:54,2024-01-30 13:47:40,False,{'log': 'Batch dropping disabled. Delay: 0s.'}
9608,2024-01-30 13:48:36,2024-01-30 13:48:21,False,{'log': 'Batch dropping enabled. Delay: 6s.'}
9608,2024-01-30 13:48:41,2024-01-30 13:48:27,False,{'log': 'Batch dropping disabled. Delay: 0s.'}
9608,2024-01-30 13:49:40,2024-01-30 13:49:25,False,{'log': 'Batch dropping enabled. Delay: 6s.'}
9608,2024-01-30 13:49:46,2024-01-30 13:49:32,False,{'log': 'Batch dropping disabled. Delay: 0s.'}
9608,2024-01-30 13:50:38,2024-01-30 13:50:24,False,{'log': 'Batch dropping enabled. Delay: 6s.'}
9608,2024-01-30 13:50:45,2024-01-30 13:50:29,False,{'log': 'Batch dropping disabled. Delay: 0s.'}
9608,2024-01-30 13:52:23,2024-01-30 13:52:08,False,{'log': 'Batch dropping enabled. Delay: 6s.'}
9608,2024-01-30 13:52:30,2024-01-30 13:52:15,False,{'log': 'Batch dropping disabled. Delay: 0s.'}
9608,2024-01-30 13:53:57,2024-01-30 13:53:42,False,{'log': 'Batch dropping enabled. Delay: 6s.'}
